	id	transcript
0	i4x-Summer_Intern_IIT_Mumbai-SI006-video-550dcb6b2b13430e820df000ae96add7	1
1	i4x-Summer_Intern_IIT_Mumbai-SI006-video-c7514a5347474e089a5d44596484cb95	1
2	i4x-Summer_Intern_IIT_Mumbai-SI006-video-de282599553f49dab77187245c071f5b	1
